sex,viloyat_id,tuman_id,mfy_id,client_type,job_name,salary,total_client_family_salary,occupation_status,family_status,family_members_count,home_type,home_owner,client_monthly_expenditure,product_price,final_produt_price,status
1,6,76,5781,1.0,164,6000000.0,6000000.0,1.0,1,3.2419771303170455,1.7580228696829545,1.0,1500000.0,12906993.729317836,12906993.729317836,1
2,6,76,5800,1.0,51,2833541.9571222556,2833541.9571222556,1.0,1,2.667083914244511,1.7776386952518297,1.0,1222361.3047481703,28122436.36183082,28122436.36183082,1
1,6,76,5757,1.1751231401303532,66,144652.53862453165,144652.53862453165,1.0,1,4.824876859869647,2.0,1.0,1929950.7439478587,8104189.661336127,8104189.661336127,1
2,6,90,6167,1.0,51,3000000.0,3000000.0,1.0,1,3.0,1.0,1.0,1200000.0,6708000.0,6708000.0,0
1,6,78,5888,1.0,165,5000000.0,5000000.0,1.0,1,3.4051526204980904,1.0,1.0,1540515.262049809,6758969.475900382,6758969.475900382,1
1,6,90,6071,1.0,4,3000000.0,3000000.0,1.0,1,3.0,1.0,1.0,1200000.0,5808000.0,5808000.0,0
2,6,80,5982,2.0,51,2500000.0,2500000.0,1.0,2,7.0,1.0,1.0,2800000.0,11280000.0,11280000.0,0
1,6,76,5805,1.0,33,172208.29401306098,5000000.0,1.0,1,6.0,1.0,1.0,2400000.0,6925979.168531591,6925979.168531591,1
1,6,90,6178,1.0,194,4000000.0,4000000.0,1.0,2,3.0,1.0,1.0,1200000.0,3494000.0,3494000.0,0
1,6,76,5760,1.0,135,6000000.0,6000000.0,1.0,1,8.151357857115384,1.1697284285769232,1.0,2268845.755106614,2988826.2442130907,2988826.2442130907,1
1,6,90,6173,1.0,120,5000000.0,5000000.0,1.0,1,6.0,1.0,1.0,2400000.0,1248000.0,1248000.0,1
2,6,76,5793,1.8379083748518035,159,4000000.0,4000000.0,1.0,1,4.675816749703607,1.8379083748518035,1.0,1918954.1874259016,11688147.298122723,11688147.298122723,1
1,10,142,6045,1.3758882851457694,83,4500000.0,4500000.0,1.0,1,7.0,1.0,1.0,2800000.0,6883490.085194911,6883490.085194911,1
1,6,88,6043,1.0,190,6000000.0,6000000.0,1.0,1,3.0,1.0,1.0,1500000.0,17220000.0,17220000.0,1
1,6,85,6010,1.194074599882379,132,5805925.400117621,6194074.599882379,1.0,1,5.611850800235242,1.0,1.0,2322370.1600470487,16698110.835061751,16698110.835061751,1
1,6,80,5948,2.0,194,5000000.0,5000000.0,1.0,1,6.0,1.0,1.0,20000000.0,6708000.0,6708000.0,0
1,6,76,5807,1.0,51,5000000.0,4000000.0,1.0,1,4.0,1.0,1.0,1600000.0,7035000.0,7035000.0,1
1,6,87,5994,1.0,183,10000000.0,10000000.0,1.0,1,5.0,1.0,1.0,2500000.0,4140000.0,4140000.0,0
1,6,90,6071,1.0,183,4000000.0,4000000.0,1.0,1,4.0,1.0,1.0,2000000.0,2592000.0,2592000.0,1
1,6,76,5789,1.0,194,3500000.0,3500000.0,1.0,2,3.0,1.0,1.0,1500000.0,5898935.203531912,5832220.60178639,1
1,13,183,5491,1.0,122,2500000.0,2500000.0,1.0,1,5.345223142801692,1.0,1.0,2138089.257120677,2445597.421150953,2445597.421150953,1
1,7,105,3515,2.0,143,12000000.0,12000000.0,1.0,1,4.0,2.0,2.0,2000000.0,7584000.0,7584000.0,0
2,6,76,5763,2.0,120,800000.0,800000.0,1.0,1,7.0,1.0,1.0,2800000.0,492000.0,492000.0,0
2,6,80,5951,1.0,11,45000000.0,4000000.0,1.0,2,5.0,1.0,1.0,15000000.0,6510000.0,6510000.0,0
1,6,87,5987,1.0,118,4000000.0,5000000.0,1.0,2,7.0,1.0,1.0,2000000.0,8400000.0,8400000.0,0
1,6,88,6046,1.0,58,10000000.0,10000000.0,1.0,1,3.873802363170311,1.0,1.0,1553727.5331624474,7565889.223052052,7565889.223052052,1
2,6,76,5802,2.0,85,3500000.0,3500000.0,1.0,1,4.0,2.0,1.0,2000000.0,4896000.0,4896000.0,0
2,6,81,5905,1.3805177098698946,185,186076.56585265917,557001.4987847019,1.0,1,5.380517709869895,1.0,1.0,2461948.2290130104,594505.313438717,594505.313438717,1
1,6,89,6069,1.0,51,8607269.256728584,8607269.256728584,1.0,1,6.214538513457168,1.0,1.0,2910903.885092876,11489352.845271228,11489352.845271228,1
1,6,76,5802,2.0,51,6000000.0,6000000.0,1.0,1,4.0,2.0,1.0,1600000.0,3624000.0,3624000.0,1
1,6,76,5751,1.0,51,5000000.0,5000000.0,1.0,1,5.0,2.0,1.0,2500000.0,6640000.0,6640000.0,1
1,6,89,6053,1.0,194,7000000.0,7000000.0,1.0,1,3.0,1.0,1.0,1500000.0,1018000.0,1018000.0,0
1,6,76,5797,1.0,151,14966906.206714058,14966906.206714058,1.0,1,4.011031264428647,1.9889687355713528,1.0,2000000.0,10445295.00692575,10445295.00692575,1
1,6,80,5958,1.0,183,6000000.0,6000000.0,1.0,2,3.0,1.0,1.0,1500000.0,5310000.0,5310000.0,1
1,6,76,5782,1.0,120,1100000.0,1100000.0,1.0,2,1.0,1.0,1.0,500000.0,2760000.0,2760000.0,0
2,6,90,6084,2.0,51,3000000.0,7000000.0,1.0,1,5.0,1.0,1.0,2000000.0,9612000.0,9612000.0,0
1,6,89,6038,1.0,118,3000000.0,3000000.0,1.0,1,4.0,1.0,1.0,1600000.0,5353040.0,5353040.0,0
1,6,76,5791,1.0,191,4000000.0,4000000.0,1.0,1,6.0,1.0,1.0,3000000.0,4012736.0,4012736.0,1
1,6,78,5907,1.0,163,6000000.0,6000000.0,1.0,1,3.829092275457848,1.0,1.0,2500000.0,7337541.965749447,7337541.965749447,1
