sex,viloyat_id,tuman_id,mfy_id,client_type,job_name,salary,total_client_family_salary,occupation_status,family_status,family_members_count,home_type,home_owner,client_monthly_expenditure,product_price,final_produt_price,status
1,13,183,6201,1.0,30,10000000.0,10000000.0,1.0,1,7.0,1.0,1.0,2800000.0,3636000.0,3636000.0,1
1,6,76,5791,1.0,1541,4000000.0,4000000.0,1.0,1,6.0,1.0,1.0,3000000.0,4012736.0,4012736.0,1
2,6,87,6005,1.0,597,1500000.0,3800000.0,1.0,1,4.0,1.0,1.0,2000000.0,7056000.0,7056000.0,1
1,6,87,6015,1.0,1752,5000000.0,7000000.0,2.0,1,3.0,1.0,1.0,1200000.0,14259600.0,14259600.0,1
1,6,80,5961,1.0,1958,4500000.0,4500000.0,1.0,1,2.0,1.0,1.0,1000000.0,3612000.0,3612000.0,0
1,6,82,6014,1.0,285,2607764.934395666,3000000.0,1.0,1,3.784470131208668,1.0,1.0,1513788.0524834672,7464000.0,7464000.0,1
1,6,90,6178,1.0,212,5000000.0,3500000.0,1.0,2,2.0,1.0,1.0,1000000.0,6408000.0,6408000.0,0
1,6,89,6161,1.0204491596182432,775,5000000.0,4000000.0,1.0,1,7.020449159618243,1.0,1.0,3510224.579809122,6678047.100533546,6678047.100533546,1
1,6,90,6105,1.0,366,7000000.0,6000000.0,1.0,2,10.0,1.0,1.0,4000000.0,3420000.0,3420000.0,0
2,6,76,5753,2.0,783,4000000.0,4000000.0,1.0,1,4.0,2.0,1.0,1600000.0,2259600.0,2259600.0,0
1,13,183,5128,1.0,155,6000000.0,6000000.0,1.0,1,4.0,1.0,1.0,1600000.0,6636000.0,6636000.0,1
1,6,76,5783,1.0,194,5000000.0,5000000.0,1.0,1,3.0,1.0,1.0,1200000.0,6055200.0,6055200.0,1
1,6,76,5776,1.0,812,3985861.526351419,3985861.526351419,1.0,1,4.514126314493865,1.0,1.0,2154237.8943481594,830353.3938627455,830353.3938627455,1
1,6,76,5805,2.0,462,1500000.0,1500000.0,1.0,1,6.0,1.0,1.0,3000000.0,3840000.0,3840000.0,0
2,6,76,5750,2.0,468,1700000.0,1700000.0,1.0,1,3.0,2.0,1.0,1200000.0,4167600.0,4167600.0,0
2,6,76,5802,2.0,781,5000000.0,5000000.0,1.0,1,3.0,2.0,1.0,2000000.0,5688000.0,5688000.0,0
1,6,76,5829,1.0,806,1468335.7670472697,1021109.4886351535,1.0,1,4.894452556824232,1.8944525568242323,1.0,1957781.022729693,6806565.547158256,6806565.547158256,1
2,6,76,6193,1.0,285,3000000.0,3000000.0,1.0,1,4.0,1.0,1.0,1600000.0,2500900.0,2500900.0,0
1,6,89,6048,1.0,2081,8000000.0,8000000.0,1.0,1,3.0,1.0,1.0,1200000.0,3696000.0,3696000.0,1
1,6,76,5748,2.0,468,4500000.0,850000.0,1.0,1,4.0,1.0,1.0,1600000.0,2760000.0,2760000.0,0
1,6,76,5799,1.0,1570,8000000.0,3500000.0,2.0,1,5.0,2.0,1.0,2000000.0,11424000.0,11424000.0,0
1,6,76,6181,1.0,2042,4200000.0,1234.0,1.0,1,4.0,1.0,1.0,2000000.0,7056000.0,7056000.0,1
1,6,76,5754,2.0,485,4000000.0,1100000.0,1.0,1,5.0,1.0,1.0,2000000.0,29200000.0,29200000.0,0
1,6,87,6110,1.0,2018,6000000.0,6000000.0,1.0,1,3.7334867464921038,1.0,1.0,1493394.6985968417,6472407.261404709,6472407.261404709,1
1,6,90,6060,1.0,172,5000000.0,4000000.0,1.0,1,4.0,1.0,1.0,1600000.0,4356000.0,4356000.0,1
2,6,76,5802,1.0,729,800000.0,5000000.0,1.0,1,4.0,2.0,1.0,1200000.0,10164000.0,10164000.0,1
1,6,90,6084,1.0,539,7000000.0,7000000.0,1.0,1,3.0,1.0,1.0,1200000.0,4944000.0,4944000.0,0
1,6,89,6043,1.0,285,5000000.0,3000000.0,1.0,1,4.0,1.0,1.0,1600000.0,1584000.0,1584000.0,1
1,6,87,6196,1.0,862,4000000.0,3000000.0,1.0,1,7.0,1.0,1.0,2800000.0,12440000.0,12440000.0,0
2,6,76,5801,1.0,468,12345.0,1500000.0,1.0,1,3.0,2.0,1.0,1200000.0,794100.0,794100.0,0
2,6,90,6083,2.0,1593,1900000.0,923000.0,1.0,1,7.0,1.0,1.0,2800000.0,3600000.0,3600000.0,1
1,6,84,6057,1.0,839,4225580.6716399705,5000000.0,1.0,1,5.0,1.0,1.0,2500000.0,4894404.064836686,4894404.064836686,1
1,6,80,5947,2.0,1230,5000000.0,4000000.0,1.0,1,4.0,1.0,1.0,1600000.0,3734400.0,3734400.0,0
1,6,89,6044,1.0,202,5000000.0,3000000.0,1.0,2,4.0,1.0,1.0,1500000.0,6720000.0,6720000.0,1
1,6,90,5438,1.7808825205300616,1340,8000000.0,8000000.0,1.0,1,5.561765041060124,1.2191174794699384,1.2191174794699384,2780882.520530062,6904020.116239651,6904020.116239651,1
2,6,76,5801,1.0,1681,3000000.0,3000000.0,1.0,1,1.0,2.0,1.0,4000000.0,5090000.0,5090000.0,0
1,6,90,6068,1.0,569,2500000.0,2500000.0,1.0,2,5.0,1.0,1.0,2000000.0,5772000.0,5772000.0,1
1,6,76,5764,1.0,970,8000000.0,3000000.0,1.0,1,4.0,1.0,1.0,1600000.0,4705000.0,4705000.0,1
2,6,89,6154,1.0,1205,1126332.0616904767,6000000.0,1.0,1,5.0,1.0292578463227517,1.0,2014628.9231613758,6710871.551947301,6710871.551947301,1
1,6,89,6043,1.0,1206,5000000.0,5000000.0,1.0,1,5.0,1.0,1.0,2000000.0,3528000.0,3528000.0,0
1,6,90,6084,1.0,81,4000000.0,4000000.0,1.0,1,3.0,1.0,1.0,1200000.0,3660000.0,3660000.0,0
